Prefix,Country,City,Price per min,Start,Initial,Increment
955,Abkhazia,,0.2,2019-01-01T00:00:00.00Z,60,1
93,Afghanistan,,0.2,2019-01-01T00:00:00.00Z,60,5
9320,Afghanistan,K?bul,0.05,2019-01-01T00:00:00.00Z,30,1
9320,Afghanistan,K?bul,0.07,2019-03-01T00:00:00.00Z,30,1
9320,Afghanistan,K?bul,0.06,2019-06-01T00:00:00.00Z,30,1
9322,Afghanistan,K?p?s?,0.1,2019-01-01T00:00:00.00Z,30,1
9323,Afghanistan,B?my?n,0.1,2019-01-01T00:00:00.00Z,30,1
9324,Afghanistan,Wardak,0.1,2019-01-01T00:00:00.00Z,30,1
9325,Afghanistan,L?gar,0.1,2019-01-01T00:00:00.00Z,30,1
9326,Afghanistan,D?ykund?,0.1,2019-01-01T00:00:00.00Z,30,1
9327,Afghanistan,Kh?st,0.1,2019-01-01T00:00:00.00Z,30,1
9328,Afghanistan,Panjshayr,0.1,2019-01-01T00:00:00.00Z,30,1
9330,Afghanistan,Kandah?r,0.1,2019-01-01T00:00:00.00Z,30,1
9331,Afghanistan,Ghazn?,0.1,2019-01-01T00:00:00.00Z,30,1
9332,Afghanistan,Uruzg?n,0.1,2019-01-01T00:00:00.00Z,30,1
9333,Afghanistan,Z?bul,0.1,2019-01-01T00:00:00.00Z,30,1
9334,Afghanistan,Helmand,0.1,2019-01-01T00:00:00.00Z,30,1
9340,Afghanistan,Her?t,0.1,2019-01-01T00:00:00.00Z,30,1
9341,Afghanistan,B?dgh?s,0.1,2019-01-01T00:00:00.00Z,30,1
9342,Afghanistan,Gh?r,0.1,2019-01-01T00:00:00.00Z,30,1
9343,Afghanistan,Far?h,0.1,2019-01-01T00:00:00.00Z,30,1
9344,Afghanistan,N?mr?z,0.1,2019-01-01T00:00:00.00Z,30,1
9350,Afghanistan,Balkh,0.1,2019-01-01T00:00:00.00Z,30,1
9351,Afghanistan,Kunduz,0.1,2019-01-01T00:00:00.00Z,30,1
9352,Afghanistan,Badakhsh?n,0.1,2019-01-01T00:00:00.00Z,30,1
9353,Afghanistan,Takh?r,0.1,2019-01-01T00:00:00.00Z,30,1
9354,Afghanistan,Jowzj?n,0.1,2019-01-01T00:00:00.00Z,30,1
9355,Afghanistan,Samang?n,0.1,2019-01-01T00:00:00.00Z,30,1
9356,Afghanistan,Sar-eiPul,0.1,2019-01-01T00:00:00.00Z,30,1
9357,Afghanistan,F?ry?b,0.1,2019-01-01T00:00:00.00Z,30,1
9358,Afghanistan,Baghl?n,0.1,2019-01-01T00:00:00.00Z,30,1
9360,Afghanistan,Nangarh?r,0.1,2019-01-01T00:00:00.00Z,30,1
9361,Afghanistan,N?rist?n,0.1,2019-01-01T00:00:00.00Z,30,1
9362,Afghanistan,Kunar,0.1,2019-01-01T00:00:00.00Z,30,1
9363,Afghanistan,Laghm?n,0.1,2019-01-01T00:00:00.00Z,30,1
9364,Afghanistan,Paktiy?,0.1,2019-01-01T00:00:00.00Z,30,1
9365,Afghanistan,Pakt?k?,0.1,2019-01-01T00:00:00.00Z,30,1
358,Aland Islands,,1,2019-01-01T00:00:00.00Z,30,1
355,Albania,,0.6,2019-01-01T00:00:00.00Z,30,1
355211,Albania,Koplik,0.4,2019-01-01T00:00:00.00Z,30,1
355212,Albania,Pukë,0.4,2019-01-01T00:00:00.00Z,30,1
355213,Albania,BajrameCurri,0.4,2019-01-01T00:00:00.00Z,30,1
355214,Albania,Krumë,0.4,2019-01-01T00:00:00.00Z,30,1
355215,Albania,Lezhë,0.4,2019-01-01T00:00:00.00Z,30,1
355216,Albania,Rrëshen,0.4,2019-01-01T00:00:00.00Z,30,1
355217,Albania,Burrel,0.4,2019-01-01T00:00:00.00Z,30,1
355218,Albania,Peshkopi,0.4,2019-01-01T00:00:00.00Z,30,1
355219,Albania,Bulqizë,0.4,2019-01-01T00:00:00.00Z,30,1
355220,Albania,Shkodër,0.4,2019-01-01T00:00:00.00Z,30,1
355221,Albania,Kukës,0.4,2019-01-01T00:00:00.00Z,30,1
355222,Albania,Kuçovë,0.4,2019-01-01T00:00:00.00Z,30,1
355223,Albania,Çorovodë,0.4,2019-01-01T00:00:00.00Z,30,1
355224,Albania,Ballsh,0.4,2019-01-01T00:00:00.00Z,30,1
355225,Albania,Berat,0.4,2019-01-01T00:00:00.00Z,30,1
355226,Albania,Vlorë,0.4,2019-01-01T00:00:00.00Z,30,1
355227,Albania,Fier,0.4,2019-01-01T00:00:00.00Z,30,1
355228,Albania,Patos,0.4,2019-01-01T00:00:00.00Z,30,1
355229,Albania,Lushnjë,0.4,2019-01-01T00:00:00.00Z,30,1
355230,Albania,UrawVajgurore,0.4,2019-01-01T00:00:00.00Z,30,1
355231,Albania,Poliçan,0.4,2019-01-01T00:00:00.00Z,30,1
355232,Albania,Divjakë,0.4,2019-01-01T00:00:00.00Z,30,1
355233,Albania,Cakran,0.4,2019-01-01T00:00:00.00Z,30,1
355234,Albania,Levan,0.4,2019-01-01T00:00:00.00Z,30,1
355235,Albania,Orikum,0.4,2019-01-01T00:00:00.00Z,30,1
355236,Albania,Selenicë,0.4,2019-01-01T00:00:00.00Z,30,1
355237,Albania,Himarë,0.4,2019-01-01T00:00:00.00Z,30,1
355238,Albania,Babicë,0.4,2019-01-01T00:00:00.00Z,30,1
355239,Albania,Tiranë,0.4,2019-01-01T00:00:00.00Z,30,1
355240,Albania,Krujë,0.4,2019-01-01T00:00:00.00Z,30,1
355241,Albania,Peqin,0.4,2019-01-01T00:00:00.00Z,30,1
355242,Albania,Gramsh,0.4,2019-01-01T00:00:00.00Z,30,1
355243,Albania,Librazhd,0.4,2019-01-01T00:00:00.00Z,30,1
355244,Albania,Durrës,0.4,2019-01-01T00:00:00.00Z,30,1
213,Algeria,,0.5,2019-01-01T00:00:00.00Z,30,1
1684,American Samoa,,0.5,2019-01-01T00:00:00.00Z,30,1
376,Andorra,,0.5,2019-01-01T00:00:00.00Z,30,1
3767,Andorra,AndorrahlahVella,0.5,2019-01-01T00:00:00.00Z,30,1
244,Angola,,0.5,2019-01-01T00:00:00.00Z,30,1
24422,Angola,Luanda,0.5,2019-01-01T00:00:00.00Z,30,1
244231,Angola,Cabinda,0.5,2019-01-01T00:00:00.00Z,30,1
244232,Angola,Zaire,0.5,2019-01-01T00:00:00.00Z,30,1
244233,Angola,Uige,0.5,2019-01-01T00:00:00.00Z,30,1
244234,Angola,Bengo,0.5,2019-01-01T00:00:00.00Z,30,1
244235,Angola,KwanzazNorte,0.5,2019-01-01T00:00:00.00Z,30,1
